X Y Z R G B
2.338634977683954064e-01 -5.658208780244451397e-01 -8.400162375490621613e+00 1.240000000000000000e+02 9.900000000000000000e+01 7.200000000000000000e+01
-3.630278966841274380e-01 -3.756708431467268849e-01 -8.554111627241015370e+00 6.200000000000000000e+01 4.600000000000000000e+01 3.400000000000000000e+01
5.352897040615572921e-01 -5.117420795764978658e-01 -2.800945390240156208e+00 1.670000000000000000e+02 1.330000000000000000e+02 5.900000000000000000e+01
-1.064781892078452835e-01 -4.198929583563536516e-01 -8.637668458572445473e+00 6.900000000000000000e+01 5.000000000000000000e+01 4.100000000000000000e+01
2.921855774838206243e-01 -1.049222443596307786e+00 -6.374584311808929371e+00 9.900000000000000000e+01 8.100000000000000000e+01 7.500000000000000000e+01
-3.254040020943842291e-03 -8.031173567887176512e-01 -7.660579196572007810e+00 6.100000000000000000e+01 3.300000000000000000e+01 4.000000000000000000e+00
-1.010419430907659732e+00 -1.106721437712833822e+00 -1.287265322799310940e+00 1.140000000000000000e+02 1.570000000000000000e+02 9.500000000000000000e+01
6.427520418279142334e-01 -1.040894370873332253e+00 -6.773907581599491579e+00 4.900000000000000000e+01 3.700000000000000000e+01 3.800000000000000000e+01
5.893301465276098300e-02 -2.170895048412446737e+00 -2.679615716596138064e+00 8.300000000000000000e+01 1.090000000000000000e+02 7.500000000000000000e+01
2.205099337013276817e-01 -6.985179406031868377e-01 -4.632968555046860004e+00 1.490000000000000000e+02 1.260000000000000000e+02 5.500000000000000000e+01
