x y z r g b
3.288401 -5.186016 0.034452 101 157 112
-1.451148 2.800388 7.589003 105 160 90
1.111087 -4.099982 -0.306762 124 156 105
-0.797555 0.307482 4.277821 134 175 47
2.689015 -5.075856 0.986405 140 174 103
-1.158180 -0.221771 2.910470 134 172 60
1.130954 -3.100848 -0.247682 128 155 100
-0.298919 -1.647203 0.865396 153 184 49
-0.443810 -1.501520 1.592704 145 180 71
2.261062 -4.680126 0.838705 136 174 100
2.475264 -5.501304 0.252859 157 178 115
-0.524252 0.686008 0.757822 117 154 79
3.071662 -5.476787 0.690974 147 183 116
-0.943796 -1.442518 2.654081 155 183 78
1.061993 -4.051601 -0.169961 124 158 98
0.803835 -4.879236 7.845127 124 167 112
1.003213 -3.087802 -0.543442 125 164 87
1.241996 -3.540449 6.486673 141 180 57
2.462459 -5.186415 0.311968 141 174 112
0.012870 -1.850309 2.367718 145 183 108
